Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,1,68
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years  Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),4,283
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years  Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,32,281
Indian Institute of Technology Bombay,Electrical Engineering (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,301,681
Indian Institute of Technology Bombay,Electrical Engineering (4 Years  Bachelor of Technology),AI,SC,Gender-Neutral,55,178
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,15,118
Indian Institute of Technology Delhi,Mechanical Engineering (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,1802,2765
National Institute of Technology Tiruchirappalli,Computer Science and Engineering (4 Years  Bachelor of Technology),HS,OPEN,Gender-Neutral,1405,4102
National Institute of Technology Tiruchirappalli,Computer Science and Engineering (4 Years  Bachelor of Technology),OS,OPEN,Gender-Neutral,401,1108
National Institute of Technology Tiruchirappalli,Electronics and Communication Engineering (4 Years  Bachelor of Technology),OS,OBC-NCL,Gender-Neutral,2210,3890
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years  Bachelor of Technology),OS,OPEN,Gender-Neutral,708,1544
National Institute of Technology Karnataka Surathkal,Civil Engineering (4 Years  Bachelor of Technology),OS,ST,Gender-Neutral,9902,15330
Indian Institute of Information Technology Allahabad,Information Technology (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,3204,6621
Indian Institute of Information Technology Allahabad,Information Technology (4 Years  Bachelor of Technology),AI,EWS,Gender-Neutral,880,1290
Indian Institute of Technology Bombay,Aerospace Engineering (4 Years  Bachelor of Technology),AI,OPEN,Gender-Neutral,2210,3455
